effect,group,term,estimate,std.error,statistic,p.value
ran_pars,subj_id,cor__(Intercept).X_2,0.2284103,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.48762804,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.163173903,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.520322766,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.517094278,NA,NA,NA
fixed,NA,(Intercept),0.545319592,0.145319877,3.752546485,1.75E-04
fixed,NA,X_1,0.147145913,0.134753027,1.091967403,0.274847429
fixed,NA,X_2,-1.004936736,0.186784869,-5.380182789,7.44E-08
ran_pars,subj_id,sd__(Intercept),1.157005024,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.407218751,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.071323814,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.398871348,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.201114642,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.349730617,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.441273569,NA,NA,NA
fixed,NA,(Intercept),0.206192166,0.151651155,1.359647843,0.17394139
fixed,NA,X_1,0.354002223,0.154793347,2.286934346,0.022199656
fixed,NA,X_2,-0.649305939,0.196142926,-3.310371435,9.32E-04
ran_pars,subj_id,sd__(Intercept),1.11886544,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.458134543,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.24562914,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.436470925,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.69020394,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.270087779,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.529772385,NA,NA,NA
fixed,NA,(Intercept),-0.249501949,0.122528357,-2.036279235,0.041722324
fixed,NA,X_1,0.313666349,0.134373884,2.334280583,0.019581035
fixed,NA,X_2,-0.687325555,0.202374114,-3.396311619,6.83E-04
ran_pars,subj_id,sd__(Intercept),0.857291895,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.41415029,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.09173896,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.451959508,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.203956881,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.564779701,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.439643295,NA,NA,NA
fixed,NA,(Intercept),0.054344055,0.126614177,0.429209876,0.667770497
fixed,NA,X_1,0.466629618,0.123910628,3.765856278,1.66E-04
fixed,NA,X_2,-0.721318704,0.18560903,-3.886226357,1.02E-04
ran_pars,subj_id,sd__(Intercept),0.957083803,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.106958507,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.208657489,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.264896926,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.015675815,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.391227238,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.414104506,NA,NA,NA
fixed,NA,(Intercept),0.084982715,0.126771704,0.670360276,0.502628151
fixed,NA,X_1,0.582881622,0.131389328,4.436293503,9.15E-06
fixed,NA,X_2,-0.969706363,0.177053726,-5.476904577,4.33E-08
ran_pars,subj_id,sd__(Intercept),0.958843741,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.14240727,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.186040601,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.503382333,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.603864188,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.26934645,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.414500882,NA,NA,NA
fixed,NA,(Intercept),0.248658431,0.132040095,1.883203977,0.05967273
fixed,NA,X_1,0.166962693,0.140654579,1.187040573,0.235211617
fixed,NA,X_2,-0.819358337,0.195860247,-4.183382526,2.87E-05
ran_pars,subj_id,sd__(Intercept),0.954559798,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.196515614,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.359652134,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.472005546,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.124821593,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.428341793,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.463081907,NA,NA,NA
fixed,NA,(Intercept),-0.021291597,0.135664838,-0.156942631,0.875290061
fixed,NA,X_1,0.415441109,0.132352148,3.138907181,0.001695792
fixed,NA,X_2,-0.653481946,0.183797957,-3.555436386,3.77E-04
ran_pars,subj_id,sd__(Intercept),1.042802345,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.221148968,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.055179263,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.37757893,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.075897612,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.320120831,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.438256498,NA,NA,NA
fixed,NA,(Intercept),0.084661649,0.156349524,0.541489651,0.588170129
fixed,NA,X_1,0.496996343,0.173709983,2.861069554,0.004222144
fixed,NA,X_2,-0.746299857,0.213554744,-3.494653605,4.75E-04
ran_pars,subj_id,sd__(Intercept),1.057982075,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.414432426,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.160764551,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.486784584,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.366040831,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.331082317,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.602855927,NA,NA,NA
fixed,NA,(Intercept),-0.008686342,0.146793365,-0.05917394,0.952813566
fixed,NA,X_1,0.519792904,0.167541707,3.102468722,0.001919138
fixed,NA,X_2,-0.72540892,0.230196842,-3.151254869,0.001625706
ran_pars,subj_id,sd__(Intercept),0.947498009,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.237314446,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.325168244,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.444015215,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,0.101615153,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.621022181,NA,NA,NA
